slug,id
telcoin,5b2390ff5e4952000e62eea3
cartesi,6042a898cefa7d001049add4
funfair,5af3e039560819000d6028b8
bancor,5af43551196991000da4e295
constellation,5b6013ee900ca8000eb2072f
quarkchain,5b21437e1de29f000ea165eb
chromia,60774f0ea5f6d80010f22833
wazirx,5e4560c00300e8000eada40b
augur,5af075b312eed6000d535134
raydium,6042b08dcefa7d001049adf5
xyo,63c8bda67525e80f4c784bb7
rakon,63c8c42caa1a876c83cb43cc
bifrost,63c8ca72aa1a876c83cb4825
decimal,63c8ee5b4a323b78af8af358
stormx,6053cdaa2c03620010b9c149
metal,5cfeb3656e3915000eddcff7
whitecoin,60303cca5b7bf000102317ef
nest-protocol,63c8c6f4aa1a876c83cb45de
orchid,5e4702e50ee1ca000e6625fc
adshares,5d069e04f91239000ea5f31c
aelf,5af1706c94d054000d104f7e
stratis,63c14b832e8fab2b576d05f4
nkn,5b23870a5e4952000e62ee90
insure-defi,607751f5a5f6d80010f22844
origintrail,5b2384935e4952000e62ee8a
creditcoin,60423312cefa7d001049ac57
fetch,5cff2594d2dd5c000e84dce1
world-mobile-token,63c8f3714a323b78af8af689
mdex,606ca8b6185c5000106d82c5
utrust,5b2593fbb84b58000e5d930d
vai,63c8ca7caa1a876c83cb482e
rif-token,5cd5058b083569000e68848e
venus,60329e5a9c4731001009e0f0
propy,5b29e4dd75cf69000ef18b9a
aergo,5d51054a929bd0000e5ce33e
ark,5af17ba394d054000d104f85
wirex,5d045cc72f0c70000e2f2660
myneighboralice,6053cab42c03620010b9c128
alchemy-pay,63c8c8c4aa1a876c83cb4708
verge,5aeb5efb080b3a000d789373
sologenic,6043704ed4f39a0010f5d4d5
glitzkoin,5e21f5f69aa6ab000e77a2a8
hedgetrade,5ed40794f9f81a000edff156
sun,6042af79cefa7d001049aded
centrality,5af3e1ee560819000d6028b9
celo-dollar,6083089d0dbabc000f6472f8
moviebloc,5e455d060300e8000eada402
mainframe,5b472a1078c26c000e74786b
conun,5fb81f4710d38b0010ff2451
somesing,63c8c642aa1a876c83cb4559
thundercore,5d0076931a9eb5000efc73fe
concordium,63c901d54a323b78af8aff28
melon,5b26620026115f000e323fd9
polkastarter,60415206d9bcb60010740fe1
dero,5d0075081a9eb5000efc73fb
dusk-network,5e45c84803c305000ef75567
chainbing,63c8e3cb4a323b78af8af137
verasity,63c8bf647525e80f4c784cc4
sport-and-leisure,5e47d0ee3eeff40018892c79
mines-of-dalarnia,63c8e36a4a323b78af8af0f0
ampleforth,5f201b23b8868b000eb44160
gxchain,5cd0371f324b00000e0baa44
neblio,5b1765606bcb44000e79a54c
strike,63c8ceecaa1a876c83cb4ad4
phala-network,603186139c4731001009dc42
dkargo,604245aacefa7d001049aca9
yield-guild-games,63c8dfc44a323b78af8aee96
cocos-bcx,5fb82c2810d38b0010ff2464
band-protocol,5f2027a2b8868b000eb4417d
tomochain,5b24f48ab84b58000e5d92cd
smartofgiving,63c8bde57525e80f4c784bed
klever,606723e55a0eb8001092ce29
qcash,60830e0b0dbabc000f647300
safepal,6071bf2af593cd00103ff048
wanchain,6065cf8c4d1b370010c46506
bitshares,5ccb5e7e09b644000eadba1e
super-zero,5e4554800300e8000eada3ed
carry,5e46ccd00ee1ca000e6625c4
lina,5d493716a91d2d000ef7b19a
komodo,5af1723a94d054000d104f7f
gods-unchained,63c8df8c4a323b78af8aee73
aioz-network,606e176b4493cf0010ed7a2c
platon,63c8db284a323b78af8aec22
syntropy,6041550bd9bcb60010740fe9
bitmart,6054f95ce7521e001049fcd4
terra-virtua-kolect,607f27ecb8a4cc0010364de6
hyperion,5ce79a9f7cfe9d000e778dd3
cult-dao,63c900ce4a323b78af8afe6d
akash-network,603043ef5b7bf0001023182b
star-atlas,63c8e1e14a323b78af8af006
moss-coin,5cff304c6edb820018c1ae61
proton,6083e0350b94e6000f6f61e1
refereum,5b29da8b75cf69000ef18b87
lto-network,5d00785c1a9eb5000efc7404
hunt,63c8c523aa1a876c83cb4486
kardiachain,63c8c581aa1a876c83cb44cd
bitcoin-diamond,604cace9c191230010c8b4a0
elastos,5af3df27560819000d6028b7
era-swap,63c8c22d7525e80f4c784e6d
pivx,5af3dd8b560819000d6028b6
dxchain,5d507c93929bd0000e5ce2f8
presearch,5b25ee13b84b58000e5d932d
ultiledger,5d435c75be73bb000e411a76
steem-dollars,63c14b6f2e8fab2b576d05e4
groestlcoin,5b2140981de29f000ea165e5
aeternity,5aeb6a52080b3a000d789375
orion-protocol,63c8c67baa1a876c83cb457d
bluzelle,5b47264978c26c000e747866
coinpoker,63c17918d8ad54ed148db728
bitcicoin,63c8cc16aa1a876c83cb492d
district0x,5b251770b84b58000e5d92f8
airswap,5b24e695b84b58000e5d92b2
tokenlon-network-token,63c8cb15aa1a876c83cb488f
time-new-bank,5b213ef51de29f000ea165e2
phantasma,5b29e3d375cf69000ef18b97
efforce,63c8ca87aa1a876c83cb4837
selfkey,5b2969c075cf69000ef18b77
mil-k,6042a5eecefa7d001049adc4
elitium,5e47d2c33eeff40018892c7c
mantra-dao,603188409c4731001009dc50
streamr-datacoin,5b214f8b1de29f000ea165f1
latoken,5ce7932b7cfe9d000e778dc5
beam,6054f31ae7521e001049fcab
cortex,5af42fab196991000da4e292
adex,5b24e808b84b58000e5d92b5
kin,5b13a52d624c02000ee5128e
litentry,6030f06b5b7bf00010231b0a
waltonchain,5af0776f12eed6000d535135
ambrosus,5b20dad11de29f000ea165d3
unibright,5e455a240300e8000eada3fd
mithril,5af1751794d054000d104f81
gyen,63c8cdf2aa1a876c83cb4a34
akropolis,6030ee3a5b7bf00010231afe
saito,63c8d9b44a323b78af8aeb05
gifto,5b13b6bf624c02000ee512a3
viberate,5b28b6272d071d000ea36ceb
haven-protocol,63c17b2adc04ef7aca2be004
aion,5af16bd594d054000d104f7c
solve-care,5cd4febf083569000e688481
degate,63c8ce40aa1a876c83cb4a72
maro,606cb2f7185c5000106d8317
nuls,5b139f22624c02000ee51285
prizm,5b25f71eb84b58000e5d9342
dock,5b251688b84b58000e5d92f5
hydra,604cab41c191230010c8b492
map-protocol,63c8c3a7aa1a876c83cb4372
bytom,5aec2de694c77a000d700f8f
pnetwork,5f202951b8868b000eb44182
kleros,5e4684d403c305000ef755c0
nestree,63c8c1897525e80f4c784ded
apollo-currency,5ce7a1df7cfe9d000e778de2
measurable-data-token,63c16f6558832a6339ccec4d
waykichain,5af1777794d054000d104f82
digixdao,5af068b312eed6000d535130
fusion,5af4392d196991000da4e298
fox-token,63c8fd124a323b78af8afc65
cube,5b238d515e4952000e62ee9c
mimblewimblecoin,60303e815b7bf000102317ff
peercoin,5b22203063b4aa000ed72831
sonm,5b31cbb48f3658000eac0bff
all-sports,5b163db11fb8e8000e1f15cb
dodo,60678e2d6e5a8900107fa644
metronome,5b6011f3900ca8000eb2072b
valobit,63c8c8aaaa1a876c83cb46f6
btu-protocol,5cfeb7256e3915000eddd003
apm-coin,5e4682fa03c305000ef755bc
arcblock,5b17ce0f8b33af000ed2b370
vite,5cff383e6edb820018c1ae6d
yield-app,63c8cafcaa1a876c83cb487d
hathor,63c8c60faa1a876c83cb4536
bridge-oracle,604234d8cefa7d001049ac61
bosagora,5e4056f41b1171000eb8b06c
dad,63c8c23e7525e80f4c784e76
redfox-labs,603192649c4731001009dc85
cajutel,5cfa35805587d5000e82f20f
stratos,63c8db414a323b78af8aec34
grid,5b29282c75cf69000ef18b65
byteball-bytes,5b14078b624c02000ee512d8
milc-platform,63c8db684a323b78af8aec46
zkswap,604109d9d9bcb60010740ef1
polyswarm,63c17af6dc04ef7aca2bdfec
1irstcoin,5d43593bbe73bb000e411a72
somnium-space-cubes,63c8c4e7aa1a876c83cb4458
sensorium,6054fadbe7521e001049fcde
oxen,63c17c3bd0aa7a599be50a5a
dacxi,63c8ddf24a323b78af8aedd5
quantum-resistant-ledger,5b24e989b84b58000e5d92b8
deeper-network,63c8ceadaa1a876c83cb4ab9
perlin,5e455f930300e8000eada407
diamond,5b2c2ceb0b15cb000ea2d163
crypterium,5b2141de1de29f000ea165e8
reddcoin,5af42ebc196991000da4e291
energi,5cfeb0f56e3915000eddcff1
nunet,63c8f23f4a323b78af8af5bd
cryptex-finance,63c8ddeb4a323b78af8aedcc
unilend,63c8c967aa1a876c83cb477a
callisto-network,5b4b0497d17267000e44ad3e
switcheo,5b29e9e875cf69000ef18ba3
newscrypto,63c8c2567525e80f4c784e88
qash-liquid,5af437f2196991000da4e297
